City,Day,Date,Station Name,Use Case,Status,CPO,Manufacturer,MODEL,Voltage(V),Current(A),Power(kW),Start Method,Has_12A_24A,Start Time,Start SoC(%),End Time,End SoC(%),End Method,Test Result,Remark,Station_ID
广州,7.0,12/4/25,居然之家-赛鑫超级充电站,AC_UC1_17460722,Abnormal(Unable to enter),小桔充电,,,,,,,,,,,,,,CPO 快電,GZ_xiaoju_003
广州,8.0,12/5/25,广汽能源,DC_UC5_17460720,Normal Test,广汽能源,万城万冲,DC,1000.0,250.0,240.0,掃描 QRcode,1.0,12/5/25 10:33,40.0,12/5/25 10:38,45.0,reached target SOC,Pass,旁邊發現華為充電站,GZ_guangqi_001
广州,8.0,12/5/25,广汽能源,AC_UC1_17460722,Normal Test,广汽能源,广汽能源,DC,,,,掃描 QRcode,1.0,12/5/25 10:42,45.0,12/5/25 10:46,49.0,APP,Pass,,GZ_guangqi_001
广州,8.0,12/5/25,華為超級衝,DC_UC4_17460724,Normal Test,華為,華為,HPC,1000.0,600.0,600.0,掃描 QRcode,1.0,12/5/25 10:49,49.0,12/5/25 10:51,52.0,CID,Pass,測試是否能到 600 KW ,GZ_unknown_cpo_047
广州,8.0,12/5/25,广州城投（大东门）超充站,AC_UC1_17460722,Normal Test,城投充电,深圳市鴻嘉利新能源有限公司,HPC,1000.0,600.0,480.0,掃描 QRcode,0.0,12/5/25 11:34,50.0,12/5/25 11:39,53.0,APP,Pass,广州城投（大东门）超充站,GZ_unknown_cpo_048
广州,8.0,12/5/25,中旅交通（安创）超级充电站,DC_UC4_17460724,Normal Test,國能安儲,深圳,DC,1000.0,250.0,360.0,掃描 QRcode,1.0,12/5/25 12:20,51.0,12/5/25 12:21,53.0,CID,Pass,中旅交通（安创）超级充电站本站已入住小橘充電,GZ_unknown_cpo_049
广州,8.0,12/5/25,广州花都融创茂公共充电站,AC_UC1_17460722,Normal Test,南方電網,南方電網,DC,750.0,250.0,160.0,掃描 QRcode,1.0,12/5/25 13:06,47.0,12/5/25 13:08,48.0,LAT,Pass,白名單上第一名充電站,GZ_unknown_cpo_050
广州,8.0,12/5/25,至泰广场充电站,DC_UC4_17460724,Abnormal(Unable to enter),小桔,,,,,,掃描 QRcode,1.0,,,,,,,至泰广场充电站,GZ_xiaoju_004
广州,8.0,12/5/25,特斯拉,DC_UC4_17460724,Normal Test,特斯拉,特斯拉,DC,410.0,270.0,,掃描 QRcode,1.0,12/5/25 16:42,31.0,12/5/25 16:44,33.0,reached target SOC,Pass,特斯拉,GZ_tesla_001
广州,8.0,12/5/25,星星充電,AC_UC1_17460722,Normal Test,星星充電,萬邦,DC,1000.0,250.0,240.0,掃描 QRcode,0.0,12/5/25 16:56,33.0,12/5/25 17:02,34.0,LAT,Pass,星星充電 奔馳專用 用小程序掃描後 可用星星充電小程序充電,GZ_unknown_cpo_051
广州,8.0,12/5/25,广汽能源,AC_UC1_17460722,Normal Test,广汽能源,广汽能源,DC,,,,掃描 QRcode,1.0,,,,,reached target SOC,Failed,Charger,GZ_guangqi_001
