City,Day,Date,Station,Use Case,Status,CPO Name,Manufacturer,MODEL,Voltage(V),Current(A),Power(kW),Start Method,Has_12A_24A,Start Time,Start SoC(%),End Time,End SoC(%),End Method,End Reason,Test Result,Error Describe,Remark,cpo_pinyin,city_abbr,station_num,station_id,Internal_Market_Share (%),National_Impact_Share (%)
重庆,1,2026-03-15,易安裝老廠充電站,UC01_CC_DC_AC_Sessions,Normal Test,易安裝,中盾电气（重庆）有限公司,DC,750.0,250.0,160.0,Scan QR Code,0.0,2026-03-15 16:25:00,24.0,2026-03-15 16:30:00,28.0,LAT,Manual Stop,Pass,,,yi_an_zhuang,CQ,1,CQ_yi_an_zhuang_001,,
重庆,1,2026-03-15,庫倫超級充電站,UC01_CC_DC_AC_Sessions,Normal Test,雲鯤新能源,深圳永聯科技,DC,1000.0,250.0,250.0,Scan QR Code,1.0,2026-03-15 17:46:00,21.0,2026-03-15 17:51:00,27.0,CID,Manual Stop,Pass,,,yun_kun_xin_neng_yuan,CQ,1,CQ_yun_kun_xin_neng_yuan_001,,
重庆,1,2026-03-15,幸福千萬家,UC01_CC_DC_AC_Sessions,Normal Test,幸福千萬家,杭州極電電子科技有限公司,DC,1000.0,250.0,250.0,Scan QR Code,1.0,2026-03-15 18:20:00,28.0,2026-03-15 18:40:00,30.0,Target SOC,Manual Stop,Pass,,,xing_fu_qian_wan_jia,CQ,1,CQ_xing_fu_qian_wan_jia_001,0.03,0.0
重庆,2,2026-03-16,特瓦特超级充电站(茶园),UC01_CC_DC_AC_Sessions,Normal Test,特瓦特,特瓦特,DC,1000.0,600.0,600.0,Scan QR Code,1.0,2026-03-16 11:00:00,,2026-03-16 11:05:00,,,Manual Stop,Pass,,,te_wa_te,CQ,1,CQ_te_wa_te_001,0.83,0.06
重庆,2,2026-03-16,帕克公源-美业路超级充电站,UC01_CC_DC_AC_Sessions,Normal Test,帕克公源,深圳英飞源技术有限公司,DC,1000.0,250.0,250.0,Scan QR Code,1.0,2026-03-16 11:25:00,,2026-03-16 11:30:00,,,Manual Stop,Pass,,,pa_ke_gong_yuan,CQ,1,CQ_pa_ke_gong_yuan_001,,
重庆,2,2026-03-16,新电途汽车充电站(滨南时代I滨南股份站),UC01_CC_DC_AC_Sessions,Normal Test,滨南时代,成都豐泰電器有限公司,DC,1000.0,360.0,360.0,Scan QR Code,1.0,2026-03-16 11:35:00,,2026-03-16 11:40:00,,,Manual Stop,Pass,,,bin_nan_shi_dai,CQ,1,CQ_bin_nan_shi_dai_001,,
重庆,2,2026-03-16,小飞象重庆市渝北区华宇御临府五期充电站,UC01_CC_DC_AC_Sessions,Normal Test,雷曼,杭州小鶴科技有限公司,AC,220.0,32.0,7.0,Scan QR Code,0.0,2026-03-16 12:20:00,,2026-03-16 12:25:00,,,Manual Stop,Pass,,,lei_man,CQ,1,CQ_lei_man_001,,
重庆,2,2026-03-16,小飞象重庆市渝北区华宇御临府五期充电站,UC01_CC_DC_AC_Sessions,Normal Test,閃開,陽光股份有限公司,AC,220.0,32.0,7.0,Scan QR Code,0.0,2026-03-16 12:20:00,,2026-03-16 12:25:00,,,Manual Stop,Pass,,,shan_kai,CQ,1,CQ_shan_kai_001,,
重庆,2,2026-03-16,小飞象重庆市渝北区华宇御临府五期充电站,UC01_CC_DC_AC_Sessions,Normal Test,藍鯉,深圳驛普樂氏科技有限公司,AC,220.0,32.0,7.0,Scan QR Code,0.0,2026-03-16 12:25:00,,2026-03-16 12:30:00,,,Manual Stop,Pass,,,lan_li,CQ,1,CQ_lan_li_001,,
重庆,2,2026-03-16,小飞象重庆市渝北区华宇御临府五期充电站,UC01_CC_DC_AC_Sessions,Normal Test,小飛象,嘉興智行物聯網技術有限公司,AC,220.0,32.0,7.0,Scan QR Code,0.0,2026-03-16 12:30:00,,2026-03-16 12:35:00,,,Manual Stop,Pass,,,xiao_fei_xiang,CQ,1,CQ_xiao_fei_xiang_001,,
重庆,2,2026-03-16,朗新能源投资有限公司充电站(金色阳光充电站),UC01_CC_DC_AC_Sessions,Normal Test,小朗新能源,朗新新能源科技有限公司,AC,220.0,32.0,7.0,Scan QR Code,0.0,2026-03-16 12:40:00,,2026-03-16 12:45:00,,,Manual Stop,Pass,,,xiao_lang_xin_neng_yuan,CQ,1,CQ_xiao_lang_xin_neng_yuan_001,,
