id,name,address,cityname,adname,location,biz_rating,biz_cost,biz_open_time,biz_opentime2,source_hex_id,cpo_final,longitude,latitude
B0LUP50A8H,小鹏目的地充电站(小鹏目充成都青城山豪生国际酒店站),成都青城豪生国际酒店停车场,成都市,都江堰市,"103.599594,30.893042",2.3,,24小时营业,周一至周日 00:00-24:00,hex_319,小鹏,103.599594,30.893042
B0IUDLJSJI,小鹏汽车充电站(小鹏超充成都青城山豪生国际酒店站),青城山镇豪生国际酒店(入口豪生路),成都市,都江堰市,"103.599478,30.893195",0.0,,24小时营业,周一至周日 00:00-24:00,hex_319,小鹏,103.599478,30.893195
B0IAFZ9FN1,小鹏汽车充电站(开放运营-青城山肆禧山外民宿小鹏目的地站),青城山镇肆禧·山外(入口青龙路),成都市,都江堰市,"103.553160,30.894896",2.3,,24小时营业,周一至周日 00:00-24:00,hex_319,小鹏,103.55316,30.894896
B0IRSSBVT3,蔚来能源目的地充电站(都江堰青城坐忘酒店),青城山镇坐忘森林酒店,成都市,都江堰市,"103.542540,30.908690",1.9,,09:00-19:00,周一至周日 09:00-19:00,hex_319,蔚来,103.54254,30.90869
B0I05PXRXH,小鹏目的地充电站(小鹏目充成都途悦霞客行房车度假营地站)(暂停营业),龙池镇望江村14组28号(入口望江路),成都市,都江堰市,"103.516335,30.994211",0.0,,24小时营业,周一至周日 00:00-24:00,hex_343,小鹏,103.516335,30.994211
B0K0G612N8,小鹏超级充电站(小鹏S4超快充成都都江堰玉带桥站),观景路一段与建兴路交叉口西120米,成都市,都江堰市,"103.631610,30.999113",3.3,,24小时营业,周一至周日 00:00-24:00,hex_344,小鹏,103.63161,30.999113
B0LB3C7O8O,理想超级充电站(理想超充站成都融创施柏阁酒店),玉堂街道青城山大道成都融创堇悦酒店,成都市,都江堰市,"103.617035,30.956116",3.2,,24小时营业,周一至周日 00:00-24:00,hex_344,理想,103.617035,30.956116
B0LDOU5Q85,理想超级充电站(理想超充站都江堰玉带桥),玉带桥新能源汽车充电站,成都市,都江堰市,"103.631670,30.999205",3.8,,24小时营业,周一至周日 00:00-24:00,hex_344,理想,103.63167,30.999205
B0L6XPS30O,蔚来能源超级充电站(都江堰玉带桥),兴盛街242号,成都市,都江堰市,"103.631690,30.999039",2.6,,24小时营业,周一至周日 00:00-24:00,hex_344,蔚来,103.63169,30.999039
B0KROSLL6J,蔚来能源目的地充电站(成都融创施柏阁酒店),融创施柏阁酒店停车场,成都市,都江堰市,"103.616844,30.957306",2.3,,09:00-19:00,周一至周日 09:00-19:00,hex_344,蔚来,103.616844,30.957306
B0H1ZZ76NH,蔚来换电站(都江堰彩虹大道站),通锦路310号,成都市,都江堰市,"103.644978,30.974366",0.0,,[],[],hex_344,蔚来,103.644978,30.974366
B0I2USQJ3K,蔚来能源目的地充电站(都江堰江南忆庄园酒店),虹口乡江南忆庄园酒店,成都市,都江堰市,"103.638622,31.102103",1.9,,09:00-19:00,周一至周日 09:00-19:00,hex_392,蔚来,103.638622,31.102103
B0J0TKRB7U,蔚来换电站(成都青白江凤凰西六路),同华大道北侧地面停车场03,成都市,青白江区,"104.262072,30.891512",0.0,,24小时营业,周一至周日 00:00-24:00,hex_327,蔚来,104.262072,30.891512
B0K0P6U29O,小鹏超级充电站(能创盛华产业园充电站小鹏平台),同济大道88号附5号盛华产业园,成都市,青白江区,"104.280650,30.869244",3.3,,24小时营业,周一至周日 00:00-24:00,hex_327,小鹏,104.28065,30.869244
B0J0H5VKLY,蔚来换电站(英祥·北城映像店),凤凰西六路,成都市,青白江区,"104.261925,30.891425",[],,[],[],hex_327,蔚来,104.261925,30.891425
